Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Summer_IBA,0.118148688,Otu00001,0.020524464,0.143671245,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.004888527,0.007140534,0.20362354,0.206221418
Summer_IBA,0.038849726,Otu00004,0.04893855,0.199832411,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.00465895,0.009426945,0.067561908,0.10802788
Summer_IBA,0.037240003,Otu00010,0.417886964,0.671359385,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.006391519,0.005993416,0.061342108,0.115256503
Summer_IBA,0.032205809,Otu00035,0.000817973,0.07500065,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.054792543,0.06650568,1.29E-05,3.42E-05
Summer_IBA,0.02226556,Otu00012,0.247159973,0.494319946,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.011320758,0.019903394,0.038139795,0.04844027
Summer_IBA,0.020475293,Otu00009,0.117883757,0.360528058,Bacteroidetes - Bacteroidia - Bacteroidales - Muribaculaceae - Muribaculaceae_ge,0.003901949,0.00495078,0.036347395,0.037356715
Summer_IBA,0.020258852,Otu00033,0.010177442,0.133641355,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.034484868,0.064598514,3.94E-05,7.26E-05
Summer_IBA,0.017587399,Otu00027,0.037588881,0.177594298,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.029914819,0.078245634,0,0
Summer_IBA,0.014128003,Otu00029,0.550097317,0.768267364,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.002835192,0.004829571,0.022513791,0.057343648
Summer_IBA,0.013451437,Otu00006,0.393153438,0.647035052,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.008448985,0.013635213,0.017483144,0.044680221
Summer_IBA,0.012646704,Otu00014,0.201399822,0.457332618,Bacteroidetes - Bacteroidia - Bacteroidales - Tannerellaceae - Parabacteroides,0.005961965,0.012745019,0.020955588,0.028121775
Summer_IBA,0.011971711,Otu00023,0.17964055,0.440119348,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.020398244,0.045415777,0.000335845,0.000589591
Summer_IBA,0.011314173,Otu00017,0.048332655,0.199832411,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.019338232,0.024408969,0.000155144,0.000136149
Summer_IBA,0.010893497,Otu00003,0.128996012,0.360528058,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.018881167,0.025904543,0.001175165,0.001658755
Summer_IBA,0.010512955,Otu00019,0.077099872,0.260544394,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,0.018014532,0.02541259,0.00061301,0.001352686
Summer_IBA,0.010223004,Otu00018,0.953815945,0.983936448,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.00613448,0.00790184,0.016971282,0.030004955
Summer_Torpor,0.073633307,Otu00004,0.028012856,0.170110131,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.00465895,0.009426945,0.127430479,0.15217581
Summer_Torpor,0.038440933,Otu00010,0.436554803,0.671572602,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.006391519,0.005993416,0.063393044,0.133611739
Summer_Torpor,0.03661088,Otu00023,0.638141863,0.833838701,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.020398244,0.045415777,0.04931971,0.118306383
Summer_Torpor,0.032331787,Otu00035,0.001530626,0.07500065,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.054792543,0.06650568,1.51E-05,3.70E-05
Summer_Torpor,0.026245583,Otu00069,0.750678787,0.903633563,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,1.12E-05,3.18E-05,0.04445853,0.108900712
Summer_Torpor,0.025058422,Otu00001,0.89495748,0.943073473,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.004888527,0.007140534,0.040863398,0.06529402
Summer_Torpor,0.023437714,Otu00012,0.518605016,0.747401347,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.011320758,0.019903394,0.039502089,0.046173442
Summer_Torpor,0.022257004,Otu00013,0.00379043,0.12382071,Kiritimatiellaeota - Kiritimatiellae - WCHB1-41 - WCHB1-41_fa - WCHB1-41_ge,0.000201685,0.000570452,0.037719771,0.059279045
Summer_Torpor,0.020347647,Otu00033,0.008786951,0.133641355,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.034484868,0.064598514,1.51E-05,3.70E-05
Summer_Torpor,0.017656893,Otu00027,0.132438878,0.360528058,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.029914819,0.078245634,1.51E-05,3.70E-05
Summer_Torpor,0.017325586,Otu00006,0.638141863,0.833838701,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.008448985,0.013635213,0.024489091,0.057943679
Summer_Torpor,0.016258919,Otu00020,0.43347935,0.671572602,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.008815065,0.016515774,0.026756917,0.035513889
Summer_Torpor,0.015803162,Otu00021,0.299565563,0.539885679,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.006340518,0.011072989,0.02533933,0.040371218
Summer_Torpor,0.01396568,Otu00018,0.698535358,0.889045001,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.00613448,0.00790184,0.022763075,0.046872606
Summer_Torpor,0.011465779,Otu00016,0.019591936,0.143671245,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.004011239,0.00727984,0.021543536,0.02083098
Summer_Torpor,0.011380722,Otu00017,0.031244718,0.170110131,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.019338232,0.024408969,9.08E-05,0.000140529
Summer_Torpor,0.011054343,Otu00003,0.043845542,0.195311958,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.018881167,0.025904543,0.000319644,0.000503497
Summer_Torpor,0.010628359,Otu00019,0.019096139,0.143671245,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,0.018014532,0.02541259,1.53E-05,3.75E-05
Summer_Spring,0.068029852,Otu00019,0.302997065,0.539885679,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,0.018014532,0.02541259,0.113595569,0.128659993
Summer_Spring,0.037781808,Otu00002,0.198958931,0.457332618,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.000958015,0.001706072,0.060072108,0.062094289
Summer_Spring,0.034645445,Otu00035,0.013433465,0.143671245,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.054792543,0.06650568,0,0
Summer_Spring,0.022435209,Otu00003,0.836786605,0.931875991,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.018881167,0.025904543,0.029278428,0.050555285
Summer_Spring,0.021762081,Otu00033,1,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.034484868,0.064598514,0.013029704,0.013958625
Summer_Spring,0.019670768,Otu00001,0.302997065,0.539885679,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.004888527,0.007140534,0.032739266,0.028472533
Summer_Spring,0.018915206,Otu00027,0.156039402,0.395264674,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.029914819,0.078245634,0,0
Summer_Spring,0.015225166,Otu00005,0.063732061,0.231323777,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001537119,0.002591268,0.024926783,0.036407597
Summer_Spring,0.013805289,Otu00194,0.813106955,0.926563739,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.000811311,0.001498826,0.021562935,0.037348099
Summer_Spring,0.013638631,Otu00141,0.753983176,0.903633563,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.004398012,0.008017701,0.020171537,0.034781725
Summer_Spring,0.013400008,Otu00008,0.010197877,0.133641355,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-001,0.000217955,0.000395781,0.021410366,0.015183512
Summer_Spring,0.012983164,Otu00015,0.220671362,0.468973545,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.014631157,0.026131811,0.018044742,0.013301611
Summer_Spring,0.012907939,Otu00023,0.391804855,0.647035052,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.020398244,0.045415777,0.002198928,0.003808654
Summer_Spring,0.011971409,Otu00017,0.540291375,0.767370358,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.019338232,0.024408969,0.005771592,0.008685506
Summer_Spring,0.011406392,Otu00313,0.603594956,0.810937289,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000135444,0.000348168,0.017994314,0.031167067
Summer_Spring,0.010117231,Otu00050,0.302997065,0.539885679,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.005632256,0.007845389,0.016519769,0.022443956
IBA_Torpor,0.134768113,Otu00001,0.06184131,0.231323777,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.20362354,0.206221418,0.040863398,0.06529402
IBA_Torpor,0.089938802,Otu00004,0.475050524,0.71198503,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.067561908,0.10802788,0.127430479,0.15217581
IBA_Torpor,0.06921441,Otu00010,0.717238359,0.889738723,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.061342108,0.115256503,0.063393044,0.133611739
IBA_Torpor,0.034280423,Otu00023,0.35143342,0.615008486,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.000335845,0.000589591,0.04931971,0.118306383
IBA_Torpor,0.033482009,Otu00069,0.771959552,0.906846979,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.005568739,0.013146164,0.04445853,0.108900712
IBA_Torpor,0.032987916,Otu00012,0.830094265,0.931875991,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.038139795,0.04844027,0.039502089,0.046173442
IBA_Torpor,0.0284824,Otu00013,0.056085991,0.219857083,Kiritimatiellaeota - Kiritimatiellae - WCHB1-41 - WCHB1-41_fa - WCHB1-41_ge,0.010635855,0.020069225,0.037719771,0.059279045
IBA_Torpor,0.024799119,Otu00006,0.756101553,0.903633563,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.017483144,0.044680221,0.024489091,0.057943679
IBA_Torpor,0.023186817,Otu00009,0.668235142,0.86167163,Bacteroidetes - Bacteroidia - Bacteroidales - Muribaculaceae - Muribaculaceae_ge,0.036347395,0.037356715,0.012541083,0.012475853
IBA_Torpor,0.021093113,Otu00018,0.886403006,0.943073473,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.016971282,0.030004955,0.022763075,0.046872606
IBA_Spring,0.111600615,Otu00001,0.209999672,0.457332618,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.20362354,0.206221418,0.032739266,0.028472533
IBA_Spring,0.066962706,Otu00019,0.239677723,0.489342018,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,0.00061301,0.001352686,0.113595569,0.128659993
IBA_Spring,0.038768381,Otu00004,0.086416325,0.282293329,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.067561908,0.10802788,0.006683602,0.011576339
IBA_Spring,0.037005998,Otu00010,1,1,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.061342108,0.115256503,0.004289992,0.004833204
IBA_Spring,0.035116578,Otu00002,0.299126707,0.539885679,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.00182246,0.002268251,0.060072108,0.062094289
IBA_Spring,0.021438922,Otu00012,0.253007498,0.495894696,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.038139795,0.04844027,0.004161807,0.004399476
IBA_Spring,0.020395425,Otu00009,0.209999672,0.457332618,Bacteroidetes - Bacteroidia - Bacteroidales - Muribaculaceae - Muribaculaceae_ge,0.036347395,0.037356715,0.006507835,0.009732935
IBA_Spring,0.017470816,Otu00003,0.908153798,0.946798641,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001175165,0.001658755,0.029278428,0.050555285
IBA_Spring,0.014304896,Otu00005,0.02986756,0.170110131,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000923508,0.001530091,0.024926783,0.036407597
IBA_Spring,0.013658552,Otu00029,0.556601866,0.768267364,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.022513791,0.057343648,0.001537799,0.002663546
IBA_Spring,0.012733899,Otu00194,0.126630458,0.360528058,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0,0,0.021562935,0.037348099
IBA_Spring,0.012681615,Otu00006,0.71533655,0.889738723,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.017483144,0.044680221,0.006115067,0.010434856
IBA_Spring,0.012589956,Otu00008,0.015404856,0.143671245,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-001,9.12E-05,0.000106288,0.021410366,0.015183512
IBA_Spring,0.011912215,Otu00141,0.022780245,0.148830931,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0,0,0.020171537,0.034781725
IBA_Spring,0.011566025,Otu00014,0.360475232,0.619764434,Bacteroidetes - Bacteroidia - Bacteroidales - Tannerellaceae - Parabacteroides,0.020955588,0.028121775,0.003680284,0.003206755
IBA_Spring,0.010626465,Otu00313,0.126630458,0.360528058,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0,0,0.017994314,0.031167067
IBA_Spring,0.01054184,Otu00015,0.010683359,0.133641355,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.000193727,0.000404681,0.018044742,0.013301611
Torpor_Spring,0.071761224,Otu00004,0.069528454,0.243349591,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.127430479,0.15217581,0.006683602,0.011576339
Torpor_Spring,0.066181771,Otu00019,0.091541265,0.289388517,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,1.53E-05,3.75E-05,0.113595569,0.128659993
Torpor_Spring,0.037592315,Otu00010,0.892738401,0.943073473,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.063393044,0.133611739,0.004289992,0.004833204
Torpor_Spring,0.034920284,Otu00002,0.224915884,0.468973545,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.000411018,0.000614417,0.060072108,0.062094289
Torpor_Spring,0.030142989,Otu00001,0.892738401,0.943073473,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.040863398,0.06529402,0.032739266,0.028472533
Torpor_Spring,0.029257796,Otu00023,0.777297411,0.906846979,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.04931971,0.118306383,0.002198928,0.003808654
Torpor_Spring,0.025903092,Otu00069,0.479500122,0.71198503,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.04445853,0.108900712,0,0
Torpor_Spring,0.022861041,Otu00012,0.516853194,0.747401347,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.039502089,0.046173442,0.004161807,0.004399476
Torpor_Spring,0.022355861,Otu00013,0.796253415,0.918033349,Kiritimatiellaeota - Kiritimatiellae - WCHB1-41 - WCHB1-41_fa - WCHB1-41_ge,0.037719771,0.059279045,0.003589065,0.005076307
