"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Female_Male",0.176215540653509,"Otu00001",0.317310507862914,0.498630798070294,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.268949916398023,0.281100430759255,0.142386124338332,0.19918652650444
"2",2,"Female_Male",0.054539013308911,"Otu00010",0.666071711416697,0.732678882558366,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.0804355793850154,0.122866897834357,0.00064849122152765,0.000305009009742004
"3",3,"Female_Male",0.048937703518616,"Otu00011",0.00269979606326019,0.0296977566958621,"Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes",0.00580692633908663,0.00836072221810489,0.0780058307817289,0.0392428994891832
"4",4,"Female_Male",0.044506251014094,"Otu00004",0.252445251654586,0.462816294700074,"Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter",0.0468121405937337,0.0968155145579268,0.0430513009590696,0.0431709242091843
"5",5,"Female_Male",0.035002841026072,"Otu00034",0.0560859905994772,0.154236474148562,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.000924663130194272,0.00183548189446131,0.0519927093540294,0.0769112768672889
"6",6,"Female_Male",0.026580872759671,"Otu00008",0.773884764529162,0.773884764529162,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0268210621846163,0.0259391614905368,0.0322031510579998,0.0470540238368951
"7",7,"Female_Male",0.025661743582947,"Otu00035",0.0342200935302837,0.125473676277707,"Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified - Bacteria_unclassified",1.68225556826593e-05,4.45082987528529e-05,0.0378818477265775,0.0471742466794168
"8",8,"Female_Male",0.025094972553747,"Otu00013",0.565565636954348,0.691246889610869,"Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides",0.0259870658742213,0.0417689810566356,0.0265113414060931,0.0372654423870183
"9",9,"Female_Male",0.020108185612813,"Otu00006",0.534462545987337,0.691246889610869,"Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified",0.0292343158167635,0.0509046587998586,0.00112154194690502,0.000955254602895446
"10",10,"Female_Male",0.019326891620943,"Otu00012",0.0342200935302837,0.125473676277707,"Verrucomicrobia - WCHB1-41 - WCHB1-41_or - WCHB1-41_fa - WCHB1-41_ge",1.67260441233044e-05,4.42529531681568e-05,0.0285290863848946,0.0275269388777569
"11",11,"Female_Male",0.019115038845073,"Otu00017",0.19730733309236,0.434076132803192,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.0296498925697449,0.0372371297134338,0.00334797581357907,0.0044348663212462
