"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Female_Male",0.0478900375205783,"Otu00037",0.0233422020128908,0.124491744068751,"Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus",0.0195501824609286,0.0107869177272067,0.096138037369887,0.0777400128708439
"2",2,"Female_Male",0.0369512562953238,"Otu00031",0.149256609516842,0.265345083585497,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0.0602422152428711,0.1028483733408,0,0
"3",3,"Female_Male",0.0321363370416689,"Otu00018",0.12706158381454,0.25412316762908,"Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified",0.0178029766449579,0.0247081326645341,0.0563962468834662,0.0584646785520648
"4",4,"Female_Male",0.023434975848556,"Otu00032",0.704816764724312,0.867466787353,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0360344273619129,0.0720820048078127,0.0128191970004317,0.0128548116660344
"5",5,"Female_Male",0.022705697032935,"Otu00092",0.0559184385447841,0.156751256947624,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.000726517382426429,0.00156399142749798,0.0369245201101661,0.0429185479933631
"6",6,"Female_Male",0.020086989331044,"Otu00003",0.439097606673472,0.638687427888687,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.033123522978189,0.0393292083027054,0.0143077176731168,0.0185826149955128
"7",7,"Female_Male",0.018670302350505,"Otu00015",1,1,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2",0.00917611383320062,0.0107114140209952,0.0300764561808036,0.0370949115476491
"8",8,"Female_Male",0.017675329906863,"Otu00019",1,1,"Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1",0.0223131074738393,0.0259507724879671,0.0268889659395195,0.0316391181074999
"9",9,"Female_Male",0.015189755302852,"Otu00022",0.053076885066614,0.156751256947624,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.0194525885527752,0.0502686197852169,0.00842488226452281,0.00477058887267904
"10",10,"Female_Male",0.014643314892081,"Otu00079",0.00552208254660063,0.044176660372805,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.000457341169081669,0.00115885666451109,0.0240888571332116,0.0144918517520202
"11",11,"Female_Male",0.014434880902639,"Otu00158",0.00218143181854317,0.0349029090966908,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0,0,0.0233028162073826,0.0236458655367155
"12",12,"Female_Male",0.014029217528163,"Otu00014",0.058781721355359,0.156751256947624,"Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group",0.00609199163790618,0.0046052057965661,0.0276749922790649,0.0219827018859842
"13",13,"Female_Male",0.012038476898255,"Otu00052",0.552098360316901,0.736131147089201,"Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified",0.00232100449716285,0.00322312922709486,0.0194380856866395,0.0257258623036984
"14",14,"Female_Male",0.011904439102079,"Otu00068",0.234346241158004,0.374953985852806,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.00169437767740991,0.00326586460259381,0.0192258603505856,0.0228054492104224
"15",15,"Female_Male",0.010412519919336,"Otu00097",1,1,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.0147955325363591,0.0227444267620045,0.00768561801414886,0.00974775753767279
"16",16,"Female_Male",0.010143898407124,"Otu00013",0.0693569952163633,0.158530274780259,"Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides",0.00161076531130415,0.00227950559138275,0.0172115005145176,0.0176852226146074
