"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"Male_Female",0.0798115183130164,"Otu00018",0.687744024657892,0.720493740117792,"Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified",0.117345344856555,0.0340334307474786,0.102645218517871,0.141044196645726
"2",2,"Male_Female",0.0506924694571306,"Otu00045",0.438578026081001,0.567571563163648,"Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus",0.0680675589112446,0.0666885200800608,0.0734255378464854,0.102178410495187
"3",3,"Male_Female",0.049018398695421,"Otu00002",0.199848904164392,0.338205837816663,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.0870896690049145,0.0427499319106382,0.0251509769094139,0.0562392940699769
"4",4,"Male_Female",0.047965195621464,"Otu00074",0.830809325895355,0.830809325895355,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",5.81936685288641e-05,8.22982752777639e-05,0.0760248199714622,0.146193283178613
"5",5,"Male_Female",0.025158456431511,"Otu00127",0.333998255821999,0.459247601755248,"Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides",0,0,0.0398781075537549,0.0702183112681914
"6",6,"Male_Female",0.023711329187754,"Otu00274",0.0157252997545054,0.123931440026125,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Butyrivibrio",0.037296015877683,0.00157233020662254,0,0
"7",7,"Male_Female",0.018992883167615,"Otu00052",0.0506992254652329,0.123931440026125,"Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified",0.0316824052099523,0.0158366942387416,0.00179600794189047,0.00248656320951935
"8",8,"Male_Female",0.018804854287433,"Otu00132",0.687744024657892,0.720493740117792,"Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified",0.000234962406015038,0.00033228702123428,0.0297525670836489,0.0559893307535695
"9",9,"Male_Female",0.018385743933262,"Otu00001",0.0786428966689892,0.173014372671776,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",5.81936685288641e-05,8.22982752777639e-05,0.0292019104477406,0.0264109833425654
"10",10,"Male_Female",0.016890645258272,"Otu00076",0.0506992254652329,0.123931440026125,"Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group",0.0272965496842665,0.0155596336917069,0.000706572683916697,0.000960991273954941
"11",11,"Male_Female",0.015183770679865,"Otu00068",0.0506992254652329,0.123931440026125,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0247242145167388,0.00206890438640003,0.000850688036441491,0.0012902894346966
"12",12,"Male_Female",0.014698811471373,"Otu00015",0.0506992254652329,0.123931440026125,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2",0.0284183092157769,0.00118017583100387,0.00534414316646594,0.00903869430976729
"13",13,"Male_Female",0.013349228713277,"Otu00191",0.333998255821999,0.459247601755248,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0,0,0.0211544770963222,0.0312450640315463
"14",14,"Male_Female",0.01330724159728,"Otu00053",0.0873936256515505,0.174787251303101,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0229792795536327,0.0183423054505347,0.00206039076376554,0.00460717380799246
"15",15,"Male_Female",0.012709786993955,"Otu00218",0.199848904164392,0.338205837816663,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0,0,0.0201171749369711,0.0292492966853235
"16",16,"Male_Female",0.012570942698933,"Otu00239",0.333998255821999,0.459247601755248,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0,0,0.0199127106557426,0.0285177041484993
"17",17,"Male_Female",0.0123167751982,"Otu00144",0.542683804000523,0.663280204889529,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",5.87406015037594e-05,8.307175530857e-05,0.0195076101068972,0.0280868455232093
"18",18,"Male_Female",0.011958922865281,"Otu00016",0.0506992254652329,0.123931440026125,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides",0.020286181585248,0.000444596321707317,0.00148816571087268,0.00180678165870628
"19",19,"Male_Female",0.011282094411931,"Otu00032",0.0506992254652329,0.123931440026125,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0200384209476204,0.0130311274710019,0.00228843101089879,0.00262742130263431
"20",20,"Male_Female",0.011163621795285,"Otu00003",0.629063151814889,0.720493740117792,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.000117481203007519,0.00016614351061714,0.0176672587329781,0.0395051915030158
"21",21,"Male_Female",0.010662175894087,"Otu00194",0.0444743482830531,0.123931440026125,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0168814144299296,0.00460127800725904,0.000118120021895282,0.000166943743709186
"22",22,"Male_Female",0.010633788619917,"Otu00184",0.0444743482830531,0.123931440026125,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Roseburia",0.0168500204771706,0.00358415176674908,0.000117664532860105,0.000166541517763625
