"","Comparison","SIMPER","OTU"
"1","SummerWild_SummerLab",0.0297135302967471,"Otu00018"
"2","SummerWild_SummerLab",0.0277276502640369,"Otu00031"
"3","SummerWild_SummerLab",0.0250144266225909,"Otu00037"
"4","SummerWild_SummerLab",0.0196628133492101,"Otu00003"
"5","SummerWild_SummerLab",0.015831888967815,"Otu00062"
"6","SummerWild_SummerLab",0.015825431643961,"Otu00019"
"7","SummerWild_SummerLab",0.013824721836316,"Otu00116"
"8","SummerWild_SummerLab",0.011514333510174,"Otu00091"
"9","SummerWild_SummerLab",0.01103522906656,"Otu00159"
"10","SummerWild_SummerLab",0.010778320205722,"Otu00039"
"11","SummerWild_SummerLab",0.01039150599935,"Otu00158"
"12","SummerWild_SummerLab",0.010243060375154,"Otu00150"
"76","SummerWild_IBA",0.082036449541762,"Otu00001"
"77","SummerWild_IBA",0.033096094028982,"Otu00004"
"78","SummerWild_IBA",0.021243329188965,"Otu00010"
"79","SummerWild_IBA",0.020039394097667,"Otu00008"
"80","SummerWild_IBA",0.019899415743358,"Otu00011"
"81","SummerWild_IBA",0.018613181318849,"Otu00013"
"82","SummerWild_IBA",0.015390886058407,"Otu00062"
"83","SummerWild_IBA",0.013439632226718,"Otu00116"
"84","SummerWild_IBA",0.01227692744403,"Otu00034"
"85","SummerWild_IBA",0.011193595874245,"Otu00091"
"86","SummerWild_IBA",0.01094938786824,"Otu00035"
"87","SummerWild_IBA",0.010727837078262,"Otu00159"
"88","SummerWild_IBA",0.010348854276545,"Otu00150"
"127","SummerWild_Torpor",0.0516555621119615,"Otu00004"
"128","SummerWild_Torpor",0.0331804800371547,"Otu00001"
"129","SummerWild_Torpor",0.0311007591675368,"Otu00012"
"130","SummerWild_Torpor",0.021489731850566,"Otu00010"
"131","SummerWild_Torpor",0.020828905379412,"Otu00011"
"132","SummerWild_Torpor",0.019714120476207,"Otu00023"
"133","SummerWild_Torpor",0.015331458616903,"Otu00062"
"134","SummerWild_Torpor",0.01444988927668,"Otu00006"
"135","SummerWild_Torpor",0.014354191327961,"Otu00020"
"136","SummerWild_Torpor",0.014327915458828,"Otu00049"
"137","SummerWild_Torpor",0.013387712812945,"Otu00116"
"138","SummerWild_Torpor",0.011866387923783,"Otu00017"
"139","SummerWild_Torpor",0.011150390802291,"Otu00091"
"140","SummerWild_Torpor",0.010686430197489,"Otu00159"
"141","SummerWild_Torpor",0.010414656120575,"Otu00095"
"142","SummerWild_Torpor",0.010151280530248,"Otu00008"
"175","SummerWild_Spring",0.0694957526637019,"Otu00018"
"176","SummerWild_Spring",0.0611724320029781,"Otu00074"
"177","SummerWild_Spring",0.043445467931771,"Otu00045"
"178","SummerWild_Spring",0.029578806955573,"Otu00127"
"179","SummerWild_Spring",0.021543042828163,"Otu00002"
"180","SummerWild_Spring",0.014890260213744,"Otu00062"
"181","SummerWild_Spring",0.013021308754036,"Otu00116"
"182","SummerWild_Spring",0.012684786562107,"Otu00191"
"183","SummerWild_Spring",0.010844938029779,"Otu00091"
"184","SummerWild_Spring",0.010393683717764,"Otu00159"
"224","SummerLab_IBA",0.0858315258756984,"Otu00001"
"225","SummerLab_IBA",0.0347825682730146,"Otu00004"
"226","SummerLab_IBA",0.030057345261534,"Otu00018"
"227","SummerLab_IBA",0.027983427738505,"Otu00031"
"228","SummerLab_IBA",0.025402181757332,"Otu00037"
"229","SummerLab_IBA",0.022950754714733,"Otu00010"
"230","SummerLab_IBA",0.02056640426969,"Otu00011"
"231","SummerLab_IBA",0.02010977123556,"Otu00008"
"232","SummerLab_IBA",0.019841725407921,"Otu00003"
"233","SummerLab_IBA",0.019085103993364,"Otu00013"
"234","SummerLab_IBA",0.015969037158643,"Otu00019"
"235","SummerLab_IBA",0.014469719748339,"Otu00034"
"236","SummerLab_IBA",0.011046685426299,"Otu00006"
"237","SummerLab_IBA",0.01052811829159,"Otu00035"
"238","SummerLab_IBA",0.010485512699691,"Otu00158"
"239","SummerLab_IBA",0.010036923959812,"Otu00015"
"253","SummerLab_Torpor",0.0541464958003204,"Otu00004"
"254","SummerLab_Torpor",0.0340378622623615,"Otu00001"
"255","SummerLab_Torpor",0.0321604144345681,"Otu00012"
"256","SummerLab_Torpor",0.030106015903955,"Otu00018"
"257","SummerLab_Torpor",0.027776829291836,"Otu00031"
"258","SummerLab_Torpor",0.025219072237616,"Otu00037"
"259","SummerLab_Torpor",0.02251874044635,"Otu00010"
"260","SummerLab_Torpor",0.021682904270764,"Otu00011"
"261","SummerLab_Torpor",0.020435527158461,"Otu00023"
"262","SummerLab_Torpor",0.019699094215049,"Otu00003"
"263","SummerLab_Torpor",0.018108864174159,"Otu00006"
"264","SummerLab_Torpor",0.015854013854992,"Otu00019"
"265","SummerLab_Torpor",0.014858299416048,"Otu00020"
"266","SummerLab_Torpor",0.014358095789678,"Otu00049"
"267","SummerLab_Torpor",0.012773604107681,"Otu00017"
"268","SummerLab_Torpor",0.010712653117469,"Otu00050"
"269","SummerLab_Torpor",0.010466978326485,"Otu00095"
"270","SummerLab_Torpor",0.010409925947061,"Otu00158"
"271","SummerLab_Torpor",0.010291917836761,"Otu00016"
"282","SummerLab_Spring",0.0676597811844141,"Otu00074"
"283","SummerLab_Spring",0.0666763261936029,"Otu00018"
"284","SummerLab_Spring",0.041856975525493,"Otu00045"
"285","SummerLab_Spring",0.032689040946505,"Otu00127"
"286","SummerLab_Spring",0.028861989973663,"Otu00031"
"287","SummerLab_Spring",0.026204362168999,"Otu00037"
"288","SummerLab_Spring",0.024180551633182,"Otu00002"
"289","SummerLab_Spring",0.020468811502666,"Otu00003"
"290","SummerLab_Spring",0.016472733183312,"Otu00019"
"291","SummerLab_Spring",0.014550466783832,"Otu00191"
"292","SummerLab_Spring",0.011407988841642,"Otu00093"
"293","SummerLab_Spring",0.010816656257897,"Otu00158"
"294","SummerLab_Spring",0.010602686430434,"Otu00015"
"295","SummerLab_Spring",0.010425122357038,"Otu00052"
"309","IBA_Torpor",0.104099940932291,"Otu00001"
"310","IBA_Torpor",0.071941719980549,"Otu00004"
"311","IBA_Torpor",0.041800259234782,"Otu00012"
"312","IBA_Torpor",0.041589679485948,"Otu00010"
"313","IBA_Torpor",0.03559221502603,"Otu00011"
"314","IBA_Torpor",0.030626403079981,"Otu00023"
"315","IBA_Torpor",0.025858774314557,"Otu00013"
"316","IBA_Torpor",0.023835834746737,"Otu00006"
"317","IBA_Torpor",0.023270008121399,"Otu00008"
"318","IBA_Torpor",0.021089605824096,"Otu00020"
"319","IBA_Torpor",0.020333391091074,"Otu00035"
"320","IBA_Torpor",0.019719167095331,"Otu00017"
"321","IBA_Torpor",0.019431785568632,"Otu00049"
"322","IBA_Torpor",0.015906966330333,"Otu00034"
"323","IBA_Spring",0.0796810641500977,"Otu00001"
"324","IBA_Spring",0.0714765600098883,"Otu00018"
"325","IBA_Spring",0.0628782294604,"Otu00074"
"326","IBA_Spring",0.044643962794579,"Otu00045"
"327","IBA_Spring",0.03288384058045,"Otu00004"
"328","IBA_Spring",0.030401572791767,"Otu00127"
"329","IBA_Spring",0.022467012974083,"Otu00002"
"330","IBA_Spring",0.021438134115228,"Otu00010"
"331","IBA_Spring",0.020194106750652,"Otu00008"
"332","IBA_Spring",0.01927461112511,"Otu00011"
"333","IBA_Spring",0.018143712130325,"Otu00013"
"334","IBA_Spring",0.013592788628249,"Otu00034"
"335","IBA_Spring",0.013026056159286,"Otu00191"
"336","IBA_Spring",0.010217276240296,"Otu00035"
"341","Torpor_Spring",0.0712519406947826,"Otu00018"
"342","Torpor_Spring",0.0625348711030834,"Otu00074"
"343","Torpor_Spring",0.049757476993003,"Otu00004"
"344","Torpor_Spring",0.044459983629094,"Otu00045"
"345","Torpor_Spring",0.034320738334155,"Otu00001"
"346","Torpor_Spring",0.031006198349356,"Otu00012"
"347","Torpor_Spring",0.030234052163003,"Otu00127"
"348","Torpor_Spring",0.022166212847911,"Otu00002"
"349","Torpor_Spring",0.021495373255912,"Otu00010"
"350","Torpor_Spring",0.021077372284177,"Otu00011"
"351","Torpor_Spring",0.020018073492421,"Otu00023"
"352","Torpor_Spring",0.015421727282513,"Otu00006"
"353","Torpor_Spring",0.013971501676505,"Otu00020"
"354","Torpor_Spring",0.013798708663073,"Otu00049"
"355","Torpor_Spring",0.012955540818437,"Otu00191"
"356","Torpor_Spring",0.011952953572162,"Otu00017"
"357","Torpor_Spring",0.010424348339184,"Otu00008"
