Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
SummerWild_SummerLab,0.011922444,Otu00062,0.003235401,0.102980785,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.020314109,0.015985329,0,0
SummerWild_SummerLab,0.011555377,Otu00091,0.003235401,0.102980785,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.019463897,0.028945771,0,0
SummerWild_SummerLab,0.011523846,Otu00159,0.003235401,0.102980785,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.01939642,0.031847336,0,0
SummerWild_IBA,0.011185739,Otu00062,0.005761163,0.102980785,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.020314109,0.015985329,0,0
SummerWild_IBA,0.010841315,Otu00091,0.005761163,0.102980785,Firmicutes - Clostridia - Clostridiales - Peptococcaceae - uncultured,0.019463897,0.028945771,0,0
SummerWild_IBA,0.010811729,Otu00159,0.005761163,0.102980785,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.01939642,0.031847336,0,0
SummerLab_IBA,0.028257291,Otu00037,0.002349512,0.102980785,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.049705852,0.071647036,0.000333706,0.000761428
SummerLab_Torpor,0.029316381,Otu00037,0.003815569,0.102980785,Firmicutes - Clostridia - Clostridiales - Peptococcaceae - uncultured,0.049705852,0.071647036,2.35E-05,5.25E-05
SummerWild_Torpor,0.010974448,Otu00091,0.010414995,0.107415288,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019463897,0.028945771,0,0
SummerWild_Torpor,0.010944523,Otu00159,0.010414995,0.107415288,Proteobacteria - Betaproteobacteria - Burkholderiales - Alcaligenaceae - Parasutterella,0.01939642,0.031847336,0,0
SummerLab_IBA,0.022374159,Otu00032,0.010516182,0.107415288,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.039249059,0.071094313,1.95E-05,4.79E-05
SummerLab_Spring,0.029456826,Otu00037,0.006768741,0.107415288,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.049705852,0.071647036,0,0
IBA_Spring,0.037240932,Otu00045,0.008721528,0.107415288,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,5.91E-05,6.48E-05,0.066381943,0.116511742
Torpor_Spring,0.037364015,Otu00045,0.010515246,0.107415288,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,4.67E-05,0.000104343,0.066381943,0.116511742
SummerWild_SummerLab,0.029156103,Otu00037,0.016374602,0.131113338,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.000465116,0.000805605,0.049705852,0.071647036
SummerWild_Torpor,0.011309468,Otu00062,0.017201714,0.131113338,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.020314109,0.015985329,2.35E-05,5.25E-05
SummerWild_Spring,0.011095558,Otu00062,0.019254406,0.131113338,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.020314109,0.015985329,0,0
SummerWild_Spring,0.010754128,Otu00091,0.019254406,0.131113338,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019463897,0.028945771,0,0
SummerWild_Spring,0.010724795,Otu00159,0.019254406,0.131113338,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Rikenellaceae_unclassified,0.01939642,0.031847336,0,0
SummerLab_Torpor,0.023066156,Otu00032,0.01817847,0.131113338,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.039249059,0.071094313,2.35E-05,5.25E-05
SummerLab_Torpor,0.013992652,Otu00016,0.016526595,0.131113338,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.003259524,0.007800451,0.025256221,0.022603004
SummerWild_SummerLab,0.015045077,Otu00116,0.022780245,0.146693898,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.025668112,0.043855658,0,0
SummerLab_Torpor,0.01201921,Otu00018,0.023594123,0.146693898,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_9,0.020365954,0.029335603,0,0
SummerWild_Torpor,0.013493035,Otu00016,0.025347319,0.151027774,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.001300744,0.000857618,0.025256221,0.022603004
SummerWild_IBA,0.014115426,Otu00116,0.033894854,0.173105859,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.025668112,0.043855658,0,0
SummerWild_IBA,0.013918329,Otu00039,0.033894854,0.173105859,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.02507401,0.023424218,0,0
SummerWild_Spring,0.03653643,Otu00045,0.032312911,0.173105859,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.000157093,6.54E-05,0.066381943,0.116511742
